StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,1.,2.,3.,3b,4._1,4._2,4._3,4._4,4._5,4._6,4b,5._1,5._2,5._3,5._4,5._5,5._6,5b,6.,7.,8.,9.,10.,11.,12.,13.
2022-01-07 12:35:37,2022-01-07 12:38:04,IP Address,100,146,True,2022-01-07 12:38:04,R_3ffWYBHoTGoagk0,anonymous,EN,Dover,De,Car (own),,No difficulty,I do not care to use,I do not care to use,I do not care to use,Some difficulty,Great difficulty,"Running/walking trails around town ",Daily,Never,Never,Never,Occasionally,Occasionally,I run and have to drive to somewhere safe to do so due to lack of safe places along roads,Occasionally,Somewhat Favorable,Favorable,Favorable,These are excellent services to add in this area,,No,
2022-01-07 13:05:51,2022-01-07 13:08:34,IP Address,100,162,True,2022-01-07 13:08:34,R_2YL30y0HFff43kQ,anonymous,EN,Smyrna,DE,Car (own),,No difficulty,,,,,,,Never,,,,,,,Never,,Neutral,Favorable,,,No,
2022-01-07 14:10:43,2022-01-07 14:25:09,IP Address,100,865,True,2022-01-07 14:25:09,R_bOws3EpbqE1O7wl,anonymous,EN,"Smyrna ",Delaware,Car (own),,No difficulty,Some difficulty,Great difficulty,No difficulty,Great difficulty,Great difficulty,Walking (no sidewalks or paths) just like no bike paths or lanes,Daily,Occasionally,Occasionally,Occasionally,Weekly,Weekly,Walk,Weekly,Favorable,Favorable,Favorable,"Everyone needs options in moving about. I would love to hop a train or a bus and travel to Philly, DC, Wilmington, NY, or Rehobeth. . ",,Yes,As i stated sidewalks are needed. I live south of Smyrna on 13. There are often people walking along 13 to get to shopping around the Hwy 1 South Smyrna exit and to the bus stop south of Garrison Golf Course. I was surprised when the put in that bus stop. It is better than not having a stop. But it sure looks lonely.
2022-01-07 14:53:40,2022-01-07 14:56:57,IP Address,100,196,True,2022-01-07 14:56:57,R_2q7Uk5oMp9XIj2s,anonymous,EN,Dover,Delaware,Car (own),,No difficulty,No difficulty,Great difficulty,Great difficulty,Some difficulty,,,Occasionally,Never,Never,Never,Occasionally,,,Occasionally,Favorable,Somewhat Opposed,Neutral,Safe,Dangerous,No,
2022-01-07 14:49:25,2022-01-07 14:57:39,IP Address,100,493,True,2022-01-07 14:57:39,R_2XoGUB7GxNqz247,anonymous,EN,Georgetown,Delaware,Car (own),,No difficulty,I do not care to use,Great difficulty,I do not care to use,I do not care to use,,,Weekly,Never,Weekly,Never,Never,,,Weekly,Favorable,Neutral,Neutral,"no passenger train access in sussex county people who don't drive long distances could use trains but closest I'm aware of is in Wilmington Delaware ",,Yes,commercial buses for long trips none in sussex county delaware
2022-01-07 15:01:49,2022-01-07 15:04:52,IP Address,100,182,True,2022-01-07 15:04:52,R_us5wAt8yMaPbu1z,anonymous,EN,Georgetown,De,Car (own),,No difficulty,I do not care to use,Great difficulty,Great difficulty,I do not care to use,,,Daily,Occasionally,Daily,Occasionally,Never,,,Daily,Favorable,Somewhat Favorable,Somewhat Favorable,,,No,
2022-01-07 15:22:48,2022-01-07 15:24:43,IP Address,100,114,True,2022-01-07 15:24:43,R_3e3jSU6f2QhoORM,anonymous,EN,Georgetown,Delaware,Car (own),,No difficulty,Great difficulty,Great difficulty,Some difficulty,Great difficulty,I do not care to use,,Weekly,Occasionally,Occasionally,Occasionally,Weekly,Never,,Weekly,Somewhat Favorable,Somewhat Favorable,Somewhat Favorable,"The convenience would be great, especially for those without cars that travel for work",,No,
2022-01-07 15:27:38,2022-01-07 15:29:04,IP Address,100,86,True,2022-01-07 15:29:05,R_2rD9X8vi2zLWl6z,anonymous,EN,Milton,DE,Car (own),,No difficulty,Great difficulty,Great difficulty,Some difficulty,Some difficulty,,,Never,Daily,,Occasionally,Weekly,,,Daily,Favorable,Favorable,Opposed,,,No,
2022-01-07 15:34:36,2022-01-07 15:38:48,IP Address,100,252,True,2022-01-07 15:38:49,R_p3q1d5YSVLgqHdf,anonymous,EN,Magnolia,Delaware,Car (own),,No difficulty,I do not care to use,I do not care to use,I do not care to use,I do not care to use,Some difficulty,I walk up the street to the Walgreens in the shopping center,Weekly,Never,Never,Never,Never,,,Never,Somewhat Favorable,Somewhat Opposed,Neutral,I answered how I felt after reading question,I answered how I felt after reading question,No,
2022-01-07 15:54:20,2022-01-07 15:58:20,IP Address,100,239,True,2022-01-07 15:58:20,R_1LG2N9x9MJu9dAx,anonymous,EN,"Georgetown ",DE,Car (own),,No difficulty,I do not care to use,Great difficulty,I do not care to use,I do not care to use,,,Daily,Never,Occasionally,Never,Occasionally,,,Occasionally,Favorable,Favorable,Somewhat Favorable,"Train service to Wilmington, And Dover, And Rehobeth would be wonderful",,Yes,The absence of train service to Wilmington or Philadelphia is disappointing and makes it hard to get to these metropolitan areas
2022-01-07 16:12:01,2022-01-07 16:14:40,IP Address,100,159,True,2022-01-07 16:14:41,R_86ocOnPTObpp3kB,anonymous,EN,Millsboro,Delaware,Car (own),,Great difficulty,Great difficulty,Great difficulty,Some difficulty,Some difficulty,No difficulty,,Daily,Occasionally,Occasionally,Occasionally,Weekly,Never,,Weekly,Somewhat Favorable,Favorable,Somewhat Favorable,More public transportation offers options for everyone and the option to lessen carbon footprint,,Yes,We have almost no public transport
2022-01-07 16:12:49,2022-01-07 16:16:03,IP Address,100,194,True,2022-01-07 16:16:03,R_vN7BYlao3AWgSxX,anonymous,EN,"Georgetown ","Delaware ",Car (own),,No difficulty,I do not care to use,I do not care to use,I do not care to use,I do not care to use,I do not care to use,,Never,Never,Never,Occasionally,Never,Never,,Never,Opposed,Somewhat Opposed,Favorable,Taxi services are privately owned and not requiring tax payer funds,Any services reqiring tax payer funding,Yes,Transportation needs not be tax payer funded
2022-01-07 16:14:06,2022-01-07 16:19:10,IP Address,100,304,True,2022-01-07 16:19:11,R_2ZV9hsdFPRgnEpW,anonymous,EN,"Millsboro ","Delaware ",Car (own),,No difficulty,I do not care to use,I do not care to use,I do not care to use,I do not care to use,I do not care to use,,Daily,Never,Never,Never,Never,Never,,Never,Neutral,Neutral,Neutral,,,No,
2022-01-07 16:28:16,2022-01-07 16:30:41,IP Address,100,145,True,2022-01-07 16:30:42,R_38cSXdSjKAACI4V,anonymous,EN,Millsboro,Delaware,Car (own),,No difficulty,I do not care to use,Great difficulty,Great difficulty,Great difficulty,,,Daily,Occasionally,Occasionally,Never,Weekly,,,Weekly,Favorable,Somewhat Opposed,Neutral,,Too many bike accidents/pedestrians injured,No,
2022-01-07 16:31:39,2022-01-07 16:34:30,IP Address,100,170,True,2022-01-07 16:34:31,R_2cAifAVCktN9dOC,anonymous,EN,"Lewes ",DE,Car (own),,No difficulty,Some difficulty,Great difficulty,No difficulty,Some difficulty,I do not care to use,,Daily,Occasionally,Occasionally,Occasionally,Occasionally,Never,,Occasionally,Somewhat Favorable,Favorable,Favorable,"I work with people with visual impairments and they need better transportation options ",,Yes,"People who do not have transportation need better options "
2022-01-07 16:43:21,2022-01-07 16:45:36,IP Address,100,134,True,2022-01-07 16:45:36,R_11gOcvvg13eeWl6,anonymous,EN,Selbyville,"Delaware ",Car (own),,No difficulty,I do not care to use,Great difficulty,Great difficulty,Great difficulty,I do not care to use,,Daily,Never,Occasionally,Occasionally,Weekly,Never,,Occasionally,Favorable,Favorable,Favorable,I need to drive over two hours for a train. Uber has about a 30 minute arrival time.,,No,
2022-01-07 16:42:55,2022-01-07 16:46:46,IP Address,100,230,True,2022-01-07 16:46:47,R_sv4sOI3lRSkvcoF,anonymous,EN,seaford,de,Car (own),,I do not care to use,I do not care to use,I do not care to use,I do not care to use,I do not care to use,I do not care to use,,Never,Never,Never,Never,Never,Never,,Never,,Favorable,Neutral,it would be safer,,No,
2022-01-07 16:47:21,2022-01-07 16:49:08,IP Address,100,107,True,2022-01-07 16:49:09,R_x40c9klPeNbxkYh,anonymous,EN,Georgetown,"Delaware ",Car (own),,No difficulty,I do not care to use,I do not care to use,I do not care to use,I do not care to use,I do not care to use,,Daily,Never,Never,Never,Never,Never,,Never,Neutral,Neutral,Neutral,,,No,
2022-01-07 16:46:37,2022-01-07 16:50:45,IP Address,100,247,True,2022-01-07 16:50:45,R_3gZr88tpSi5gMzm,anonymous,EN,Clayton,Delaware,Car (own),,No difficulty,I do not care to use,I do not care to use,I do not care to use,I do not care to use,,,Daily,Never,Never,Never,Never,,,Never,Opposed,Opposed,Neutral,,We live inthe country. donot need them out here,Yes,Waste of money
2022-01-07 18:03:18,2022-01-07 18:08:01,IP Address,100,282,True,2022-01-07 18:08:01,R_6rltXK3RqJSQGjf,anonymous,EN,Seaford,DE,Other,Husband drives me around,Great difficulty,Great difficulty,Great difficulty,Great difficulty,I do not care to use,No difficulty,,,Occasionally,Occasionally,Weekly,Never,Never,,Occasionally,Favorable,Neutral,Favorable,"Seaford needs more taxis, Uber, Lyft",,Yes,Need DART buses to go to rural areas of Seaford
2022-01-07 18:09:37,2022-01-07 18:13:38,IP Address,100,241,True,2022-01-07 18:13:38,R_27qhzdPbyTEQzvB,qr,EN,Rehoboth Beach,Delaware,Car (own),,I do not care to use,I do not care to use,I do not care to use,I do not care to use,No difficulty,,,Occasionally,Never,Occasionally,Occasionally,Daily,,,Occasionally,Neutral,Favorable,Neutral,Biking is safe for the planet and good exercise,,Yes,Roads cannot keep up with the traffic volume due to extensive development
2022-01-07 18:22:43,2022-01-07 18:27:49,IP Address,100,306,True,2022-01-07 18:27:49,R_33DbVGyZVYJVGC7,anonymous,EN,Bridgeville,Delaware,Car (own),,No difficulty,Great difficulty,Great difficulty,Great difficulty,Great difficulty,I do not care to use,,Daily,Occasionally,Occasionally,Occasionally,Occasionally,Never,,Occasionally,Favorable,Somewhat Favorable,Somewhat Favorable,Better alternatives to crowded roads needed.,,Yes,No commercial air service. Closest is Salisbury Airport.
2022-01-07 18:44:38,2022-01-07 18:46:23,IP Address,100,105,True,2022-01-07 18:46:23,R_1Lwbx09EytBYOcX,anonymous,EN,greenwood,de,Car (own),,No difficulty,I do not care to use,I do not care to use,I do not care to use,I do not care to use,I do not care to use,,Daily,Never,Never,Never,Never,,,Never,Opposed,Neutral,Neutral,,,No,
2022-01-07 18:57:48,2022-01-07 19:01:07,IP Address,100,198,True,2022-01-07 19:01:08,R_1f9PXSnjUWSw0GR,anonymous,EN,Bridgeville,Delaware,Car (own),,I do not care to use,,,,,,,Occasionally,,,,,,,Occasionally,Neutral,Favorable,Favorable,To help others who do not want to have a car.,,Yes,Understanding
2022-01-07 19:15:40,2022-01-07 19:17:07,IP Address,100,86,True,2022-01-07 19:17:07,R_4JB5MhAY6YS0c3D,anonymous,EN,"Greenwood ",DE,Car (own),,No difficulty,I do not care to use,I do not care to use,I do not care to use,I do not care to use,I do not care to use,,Daily,Never,Never,Never,Never,Never,,Never,Neutral,Somewhat Favorable,Neutral,,,No,
2022-01-07 19:36:56,2022-01-07 19:53:20,IP Address,100,983,True,2022-01-07 19:53:20,R_zYG00WFfoignYJj,anonymous,EN,"Georgetown ",Delaware,Car (own),,No difficulty,Great difficulty,Great difficulty,Some difficulty,Great difficulty,Great difficulty,"With the increased traffic from overdevelopment, walking or biking without any paved shoulders, or designated walking paths that parallel the roadway is almost suicidal. ",,Occasionally,Occasionally,,Weekly,Daily,"Walking pathways. ",Occasionally,Favorable,Favorable,Favorable,"Need as much help as we can to get less cars on the roadways.  Do a survey on how to stop overdevelopment since this is the cause of the increased traffic. ",,Yes,"There is not enough. "
2022-01-07 21:41:08,2022-01-07 21:47:36,IP Address,100,387,True,2022-01-07 21:47:36,R_xFV2pIhNQ9f0AiR,anonymous,EN,"Millsboro, De.",Delaware,Car (own),,No difficulty,Some difficulty,Great difficulty,Some difficulty,Some difficulty,Great difficulty,,,Occasionally,Occasionally,Occasionally,Occasionally,,,Occasionally,Favorable,Favorable,Favorable,Getting older and may at some point be unable to drive,,No,
2022-01-07 22:23:09,2022-01-07 22:27:47,IP Address,100,277,True,2022-01-07 22:27:48,R_3rNSgk2KWmtifvP,anonymous,EN,Milton,Delaware,Car (own),,No difficulty,Some difficulty,Great difficulty,Some difficulty,No difficulty,,,Daily,Occasionally,Weekly,Occasionally,Occasionally,,,Occasionally,Favorable,Neutral,Neutral,,,Yes,"Cave Neck Road and Hudson road intersection, will be hard to cross route 1 with so many overpasses and traffic for miles with no breakage, bike lanes are not big enough on cave neck road and the road is not big enough for the cars since they shrunk it to fit the bike lanes. some parts of cave neck road have very little bike lane at all. route 1 traffic and beach traffic lewes/rehoboth area is grid lock on route 1 and you literally wait for at least an hour to get through all the stop lights all while cars go through the intersection and block the intersection. "
2022-01-07 23:44:31,2022-01-07 23:47:56,IP Address,100,204,True,2022-01-07 23:47:57,R_0whkfG0ARzSb9yF,qr,EN,"Harrington ",Delaware,Car (own),,No difficulty,I do not care to use,I do not care to use,I do not care to use,I do not care to use,I do not care to use,,Daily,Never,Never,Never,Never,,,Never,Neutral,Favorable,Neutral,Go for it.,Do not see a need.,No,
2022-01-08 00:51:24,2022-01-08 00:53:16,IP Address,100,111,True,2022-01-08 00:53:16,R_2VI1dM8h7jpNJhe,anonymous,EN,Milton,Delaware,Car (own),,No difficulty,I do not care to use,Great difficulty,Some difficulty,I do not care to use,,,Daily,Never,Occasionally,Occasionally,Never,,,Occasionally,Favorable,Neutral,Neutral,"Rail service is great. Will be hard with track removal for bike paths. ",,Yes,"Very difficult to find. "
2022-01-08 02:58:36,2022-01-08 03:01:24,IP Address,100,167,True,2022-01-08 03:01:24,R_10wx6DovT4uoZK1,anonymous,EN,Fenwick Island,Delaware,Car (own),,No difficulty,No difficulty,Great difficulty,Some difficulty,No difficulty,I do not care to use,,Daily,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,,Occasionally,Favorable,Favorable,Favorable,,,No,
2022-01-08 03:46:34,2022-01-08 03:53:52,IP Address,100,438,True,2022-01-08 03:53:53,R_1gMGDAWZiwUhsGa,anonymous,EN,Milton,Delaware,Car (own),,No difficulty,Great difficulty,Great difficulty,I do not care to use,I do not care to use,,,Daily,Occasionally,Occasionally,Never,Never,,,Occasionally,Favorable,Favorable,Neutral,"There are no options for any public transportation to get to large cities or airports without driving. ""Taxis"" (more driving) are ridiculously expensive for 2+ hour drives.",,No,
2022-01-08 04:36:50,2022-01-08 04:41:33,IP Address,100,283,True,2022-01-08 04:41:34,R_2nV5s1pmbAnHxeN,anonymous,EN,"Harrington ","Delaware ",Car (own),,No difficulty,I do not care to use,I do not care to use,I do not care to use,Some difficulty,I do not care to use,,Daily,Never,Occasionally,Occasionally,Weekly,Never,,Weekly,Somewhat Favorable,Favorable,Neutral,I would like to ride my bike to work for fitness,,Yes,How could it be made convenient  and safe?
2022-01-08 05:22:55,2022-01-08 05:25:19,IP Address,100,143,True,2022-01-08 05:25:19,R_UEnX68PbVhTUGyZ,anonymous,EN,Dover,"Delaware ",Car (own),,No difficulty,No difficulty,,,,,,,,,,,,,Occasionally,Favorable,Somewhat Favorable,Somewhat Opposed,,,No,
